"Site","Plot","Fires","Frame","Species","Distance_m","Distance_ft","Live.Dead"
"DALTON","55_30",3,9,"ALCR",NA,17,"L"
"DALTON","55_31",3,10,"BENE",0.9,NA,"L"
"DALTON","55_32",3,10,"SALIX",1.13,NA,"L"
"DALTON","55_33",3,10,"ALCR",7.8,NA,"L"
"DALTON","15_3",3,1,"BENE",0.7,NA,"L"
"DALTON","15_3",3,1,"SALIX",3,NA,"L"
"DALTON","15_3",3,1,"ALCR",3.13,NA,"L"
"DALTON","15_3",3,1,"POTR",NA,18.5,"L"
"DALTON","15_3",3,2,"BENE",0.4,NA,"L"
"DALTON","15_3",3,2,"SALIX",NA,22,"L"
"DALTON","15_3",3,2,"ALCR",4.17,NA,"L"
"DALTON","15_3",3,3,"BENE",0.55,NA,"L"
"DALTON","15_3",3,3,"SALIX",NA,20.5,"L"
"DALTON","15_3",3,3,"ALCR",4.1,NA,"L"
"DALTON","15_3",3,4,"BENE",0.4,NA,"L"
"DALTON","15_3",3,4,"SALIX",2.1,NA,"L"
"DALTON","15_3",3,4,"ALCR",4.2,NA,"L"
"DALTON","15_3",3,5,"BENE",0.45,NA,"L"
"DALTON","15_3",3,5,"SALIX",3.76,NA,"L"
"DALTON","15_3",3,5,"ALCR",5.7,NA,"L"
"DALTON","15_3",3,6,"BENE",0.33,NA,"L"
"DALTON","15_3",3,6,"SALIX",4.92,NA,"L"
"DALTON","15_3",3,6,"ALCR",4.4,NA,"L"
"DALTON","15_3",3,7,"BENE",0.6,NA,"L"
"DALTON","15_3",3,7,"SALIX",5.3,NA,"L"
"DALTON","15_3",3,7,"ALCR",1.5,NA,"L"
"DALTON","15_3",3,8,"BENE",0.45,NA,"L"
"DALTON","15_3",3,8,"SALIX",3.36,NA,"L"
"DALTON","15_3",3,8,"ALCR",2,NA,"L"
"DALTON","15_3",3,9,"BENE",0.6,NA,"L"
"DALTON","15_3",3,9,"SALIX",1.4,NA,"L"
"DALTON","15_3",3,9,"ALCR",NA,30,"L"
"DALTON","15_3",3,10,"BENE",0.5,NA,"L"
"DALTON","15_3",3,10,"SALIX",2.1,NA,"L"
"DALTON","15_3",3,10,"ALCR",2.1,NA,"L"
"DALTON","54_3",3,1,"BENE",1.7,NA,"L"
"DALTON","54_3",3,1,"SALIX",1.5,NA,"L"
"DALTON","54_3",3,1,"POTR",NA,33,"L"
"DALTON","54_3",3,2,"BENE",0.9,NA,"L"
"DALTON","54_3",3,2,"SALIX",1.76,NA,"L"
"DALTON","54_3",3,2,"POTR",1.9,NA,"L"
"DALTON","54_3",3,3,"BENE",0.68,NA,"L"
"DALTON","54_3",3,3,"SALIX",3,NA,"L"
"DALTON","54_3",3,3,"POTR",7.3,NA,"L"
"DALTON","54_3",3,3,"PIME",1.8,NA,"D"
"DALTON","54_3",3,4,"BENE",0.7,NA,"L"
"DALTON","54_3",3,4,"SALIX",2,NA,"L"
"DALTON","54_3",3,4,"POTR",1.6,NA,"L"
"DALTON","54_3",3,5,"BENE",1.1,NA,"L"
"DALTON","54_3",3,5,"SALIX",2.4,NA,"L"
"DALTON","54_3",3,5,"POTR",9.36,NA,"L"
"DALTON","54_3",3,6,"BENE",2.3,NA,"L"
"DALTON","54_3",3,6,"SALIX",2.6,NA,"L"
"DALTON","54_3",3,6,"POTR",2.9,NA,"L"
"DALTON","54_3",3,7,"BENE",1,NA,"L"
"DALTON","54_3",3,7,"SALIX",1.07,NA,"L"
"DALTON","54_3",3,7,"POTR",5,NA,"L"
"DALTON","54_3",3,8,"BENE",0.45,NA,"L"
"DALTON","54_3",3,8,"SALIX",0.5,NA,"L"
"DALTON","54_3",3,8,"POTR",4.3,NA,"L"
"DALTON","54_3",3,9,"BENE",1.33,NA,"L"
"DALTON","54_3",3,9,"SALIX",2.8,NA,"L"
"DALTON","54_3",3,9,"POTR",13.9,NA,"L"
"DALTON","54_3",3,10,"BENE",1,NA,"L"
"DALTON","54_3",3,10,"SALIX",2.57,NA,"L"
"DALTON","54_3",3,10,"POTR",13.37,NA,"L"
"DALTON","41_1",1,1,"BENE",NA,9.5,"L"
"DALTON","41_1",1,1,"SALIX",0.6,NA,"L"
"DALTON","41_1",1,1,"POTR",NA,40.5,"L"
"DALTON","41_1",1,1,"PIME",1.65,NA,"D"
"DALTON","41_1",1,1,"ALCR",NA,24.5,"L"
"DALTON","41_1",1,2,"BENE",1,NA,"D"
"DALTON","41_1",1,2,"SALIX",1.83,NA,"L"
"DALTON","41_1",1,2,"POTR",3,NA,"L"
"DALTON","41_1",1,2,"PIME",1.6,NA,"D"
"DALTON","41_1",1,2,"ALCR",NA,39,"L"
"DALTON","41_1",1,3,"BENE",4.2,NA,"L"
"DALTON","41_1",1,3,"SALIX",NA,19,"L"
"DALTON","41_1",1,3,"POTR",4.5,NA,"L"
"DALTON","41_1",1,3,"PIME",2.2,NA,"D"
"DALTON","41_1",1,3,"ALCR",NA,58,"L"
"DALTON","41_1",1,4,"BENE",0.5,NA,"L"
"DALTON","41_1",1,4,"SALIX",2.1,NA,"L"
"DALTON","41_1",1,4,"POTR",NA,32,"L"
"DALTON","41_1",1,4,"PIME",0.8,NA,"D"
"DALTON","41_1",1,4,"ALCR",2.7,NA,"L"
"DALTON","41_1",1,5,"BENE",1.3,NA,"L"
"DALTON","41_1",1,5,"SALIX",1.8,NA,"L"
"DALTON","41_1",1,5,"POTR",NA,36,"L"
"DALTON","41_1",1,5,"PIME",1.53,NA,"D"
"DALTON","41_1",1,5,"ALCR",NA,64.5,"L"
"DALTON","41_1",1,6,"BENE",2.3,NA,"L"
"DALTON","41_1",1,6,"SALIX",3.8,NA,"L"
"DALTON","41_1",1,6,"POTR",NA,34,"L"
"DALTON","41_1",1,6,"PIME",0.6,NA,"D"
"DALTON","41_1",1,6,"ALCR",NA,70.5,"L"
"DALTON","41_1",1,7,"BENE",4.6,NA,"L"
"DALTON","41_1",1,7,"SALIX",0.57,NA,"L"
"DALTON","41_1",1,7,"POTR",4.4,NA,"L"
"DALTON","41_1",1,7,"PIME",1.3,NA,"D"
"DALTON","41_1",1,7,"ALCR",NA,24.5,"L"
"DALTON","41_1",1,8,"BENE",NA,22,"L"
"DALTON","41_1",1,8,"SALIX",3.6,NA,"L"
"DALTON","41_1",1,8,"POTR",NA,25.5,"L"
"DALTON","41_1",1,8,"PIME",1.4,NA,"D"
"DALTON","41_1",1,8,"ALCR",NA,19.5,"L"
"DALTON","41_1",1,9,"BENE",1,NA,"D"
"DALTON","41_1",1,9,"SALIX",2.1,NA,"L"
"DALTON","41_1",1,9,"POTR",NA,34.5,"L"
"DALTON","41_1",1,9,"PIME",1.8,NA,"D"
"DALTON","41_1",1,9,"ALCR",NA,52,"L"
"DALTON","41_1",1,10,"BENE",NA,13.1,"D"
"DALTON","41_1",1,10,"SALIX",NA,18,"L"
"DALTON","41_1",1,10,"POTR",NA,16.5,"L"
"DALTON","41_1",1,10,"PIME",2.9,NA,"D"
"DALTON","41_1",1,10,"ALCR",NA,59,"L"
"DALTON","48_1",1,1,"BENE",1.1,NA,"L"
"DALTON","48_1",1,1,"SALIX",2.13,NA,"L"
"DALTON","48_1",1,1,"POTR",2.9,NA,"L"
