Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
STEESE,5_1,1,2,BENE,2.54,,L
STEESE,5_1,1,2,PIME,0.57,,D
STEESE,5_1,1,2,POTR,5.37,,L
STEESE,5_1,1,2,SALIX,0.51,,L
STEESE,5_1,1,2,ALCR,3.82,,L
STEESE,5_1,1,2,ARCTO,6.74,,L
STEESE,5_1,1,3,BENE,2.14,,L
STEESE,5_1,1,3,PIME,0.46,,D
STEESE,5_1,1,3,POTR,3.29,,L
STEESE,5_1,1,3,ALCR,2.85,,L
STEESE,5_1,1,3,SALIX,4.06,,L
STEESE,5_1,1,3,ARCTO,,26,L
STEESE,5_1,1,4,BENE,4.44,,L
STEESE,5_1,1,4,PIME,0.47,,D
STEESE,5_1,1,4,POTR,0.75,,L
STEESE,5_1,1,4,ALCR,4.85,,L
STEESE,5_1,1,4,SALIX,3.85,,L
STEESE,5_1,1,4,ARCTO,2.1,,L
STEESE,5_1,1,5,BENE,2.27,,L
STEESE,5_1,1,5,PIME,0.82,,D
STEESE,5_1,1,5,POTR,4,,L
STEESE,5_1,1,5,ALCR,4.55,,L
STEESE,5_1,1,5,SALIX,1.79,,L
STEESE,5_1,1,5,ARCTO,7.84,,L
STEESE,5_1,1,6,BENE,1.9,,L
STEESE,5_1,1,6,POTR,7.65,,L
STEESE,5_1,1,6,PIME,0.83,,D
STEESE,5_1,1,6,ALCR,,24,L
STEESE,5_1,1,6,SALIX,6.72,,L
STEESE,5_1,1,6,ARCTO,,32.5,L
STEESE,5_1,1,7,BENE,3.3,,L
STEESE,5_1,1,7,POTR,3.58,,L
STEESE,5_1,1,7,PIME,1,,D
STEESE,5_1,1,7,ALCR,,25,L
STEESE,5_1,1,7,SALIX,2.15,,L
STEESE,5_1,1,7,ARCTO,6.9,,L
STEESE,5_1,1,8,BENE,3.3,,L
STEESE,5_1,1,8,POTR,,33,L
STEESE,5_1,1,8,PIME,0.44,,D
STEESE,5_1,1,8,ALCR,5.1,,L
STEESE,5_1,1,8,SALIX,,22,L
STEESE,5_1,1,8,ARCTO,6.74,,L
STEESE,5_1,1,9,BENE,0.98,,L
STEESE,5_1,1,9,POTR,,30.5,L
STEESE,5_1,1,9,PIME,0.55,,D
STEESE,5_1,1,9,ALCR,3.42,,L
STEESE,5_1,1,9,SALIX,8.45,,L
STEESE,5_1,1,9,ARCTO,,21,L
STEESE,5_1,1,10,BENE,3.4,,L
STEESE,5_1,1,10,PIME,1.26,,L
