Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
DALTON,40_2,2,9,SALIX,4,,L
DALTON,40_2,2,9,PIME,1.76,,L
DALTON,40_2,2,9,ALCR,2.15,,L
DALTON,40_2,2,9,POTR,2.74,,L
DALTON,40_2,2,10,BENE,3.6,,L
DALTON,40_2,2,10,SALIX,2.8,,L
DALTON,40_2,2,10,PIME,2.6,,D
DALTON,40_2,2,10,ALCR,2.6,,L
DALTON,40_2,2,10,POTR,2.7,,L
DALTON,42_1,1,1,BENE,3.54,,L
DALTON,42_1,1,1,PIME,0.5,,D
DALTON,42_1,1,1,SALIX,1.6,,L
DALTON,42_1,1,1,ALCR,3.7,,L
DALTON,42_1,1,2,BENE,3.3,,L
DALTON,42_1,1,2,PIME,1.3,,D
DALTON,42_1,1,2,SALIX,,31,L
DALTON,42_1,1,2,ALCR,5.5,,L
DALTON,42_1,1,3,BENE,2.7,,L
DALTON,42_1,1,3,PIME,0.64,,D
DALTON,42_1,1,3,SALIX,,33.5,L
DALTON,42_1,1,3,ALCR,7.4,,L
DALTON,42_1,1,4,BENE,1.35,,L
DALTON,42_1,1,4,PIME,0.8,,D
DALTON,42_1,1,4,SALIX,1.4,,L
DALTON,42_1,1,4,ALCR,,31,L
DALTON,42_1,1,5,BENE,1.57,,L
DALTON,42_1,1,5,PIME,1,,D
